CMDLINE /Users/inki/anaconda/bin/python julia1_memoryprofiler1.py
MEM 84.144531 1510660678.1037
MEM 84.246094 1510660678.2088
MEM 84.355469 1510660678.3117
MEM 84.464844 1510660678.4156
MEM 84.562500 1510660678.5161
MEM 84.671875 1510660678.6212
MEM 84.781250 1510660678.7234
MEM 84.890625 1510660678.8286
MEM 84.992188 1510660678.9337
MEM 85.101562 1510660679.0358
MEM 85.210938 1510660679.1409
MEM 85.316406 1510660679.2460
MEM 85.421875 1510660679.3484
MEM 85.531250 1510660679.4535
MEM 85.632812 1510660679.5576
MEM 85.742188 1510660679.6622
MEM 85.851562 1510660679.7652
MEM 85.960938 1510660679.8703
MEM 86.062500 1510660679.9734
MEM 86.171875 1510660680.0786
MEM 86.281250 1510660680.1820
MEM 86.382812 1510660680.2872
MEM 86.496094 1510660680.3923
MEM 86.605469 1510660680.4974
MEM 86.710938 1510660680.5984
MEM 86.812500 1510660680.7004
MEM 86.921875 1510660680.8030
MEM 87.031250 1510660680.9050
MEM 87.132812 1510660681.0101
MEM 87.242188 1510660681.1151
MEM 87.355469 1510660681.2202
MEM 87.464844 1510660681.3253
MEM 87.566406 1510660681.4304
MEM 87.679688 1510660681.5352
MEM 87.789062 1510660681.6402
MEM 87.898438 1510660681.7453
MEM 88.003906 1510660681.8504
MEM 88.113281 1510660681.9555
MEM 88.222656 1510660682.0600
MEM 88.332031 1510660682.1651
MEM 88.433594 1510660682.2702
MEM 88.542969 1510660682.3753
MEM 88.656250 1510660682.4804
MEM 88.757812 1510660682.5856
MEM 88.867188 1510660682.6907
MEM 88.976562 1510660682.7935
MEM 89.085938 1510660682.8986
MEM 89.187500 1510660683.0038
MEM 89.296875 1510660683.1084
MEM 89.406250 1510660683.2113
MEM 89.507812 1510660683.3164
MEM 89.613281 1510660683.4168
MEM 89.722656 1510660683.5205
MEM 89.820312 1510660683.6227
MEM 89.929688 1510660683.7278
MEM 90.039062 1510660683.8328
MEM 90.140625 1510660683.9369
MEM 90.253906 1510660684.0420
MEM 90.363281 1510660684.1433
MEM 90.468750 1510660684.2454
MEM 90.574219 1510660684.3505
MEM 90.683594 1510660684.4556
MEM 90.792969 1510660684.5589
MEM 90.894531 1510660684.6602
MEM 91.003906 1510660684.7653
MEM 91.113281 1510660684.8684
MEM 91.222656 1510660684.9727
MEM 91.328125 1510660685.0778
MEM 91.437500 1510660685.1829
MEM 91.546875 1510660685.2880
MEM 91.656250 1510660685.3894
MEM 90.941406 1510660685.4945
MEM 91.050781 1510660685.5953
MEM 91.160156 1510660685.7004
MEM 91.261719 1510660685.8047
MEM 91.371094 1510660685.9098
MEM 91.480469 1510660686.0150
MEM 91.574219 1510660686.1183
MEM 91.679688 1510660686.2191
